Thời gian,Thông tin
2021-01-05,"Cổ tức bằng tiền, tỷ lệ: 10.0 %"
2020-09-29,"Thưởng bằng cổ phiếu, tỷ lệ: 1: 0.2"
2020-09-29,"Cổ tức bằng tiền, tỷ lệ: 20.0 %"
2020-06-29,"Cổ tức bằng tiền, tỷ lệ: 15.0 %"
2019-12-26,"Cổ tức bằng tiền, tỷ lệ: 10.0 %"
2019-09-16,"Cổ tức bằng tiền, tỷ lệ: 20.0 %"
2019-06-05,"Cổ tức bằng tiền, tỷ lệ: 15.0 %"
2018-12-27,"Cổ tức bằng tiền, tỷ lệ: 10.0 %"
2018-09-05,"Thưởng bằng cổ phiếu, tỷ lệ: 1: 0.2"
2018-09-05,"Cổ tức bằng tiền, tỷ lệ: 20.0 %"
2018-06-05,"Cổ tức bằng tiền, tỷ lệ: 15.0 %"
2017-12-28,"Cổ tức bằng tiền, tỷ lệ: 15.0 %"
2017-08-14,"Cổ tức bằng tiền, tỷ lệ: 20.0 %"
2017-05-04,"Cổ tức bằng tiền, tỷ lệ: 20.0 %"
2016-08-19,"Cổ tức bằng tiền, tỷ lệ: 40.0 %"
2016-08-19,"Thưởng bằng cổ phiếu, tỷ lệ: 1: 0.2"
2016-06-03,"Cổ tức bằng tiền, tỷ lệ: 20.0 %"
2015-08-05,"Cổ tức bằng tiền, tỷ lệ: 40.0 %"
2015-08-05,"Thưởng bằng cổ phiếu, tỷ lệ: 1: 0.2"
2014-08-13,"Cổ tức bằng tiền, tỷ lệ: 20.0 %"
2014-08-13,"Thưởng bằng cổ phiếu, tỷ lệ: 1: 0.2"
2014-05-13,"Cổ tức bằng tiền, tỷ lệ: 20.0 %"
2013-12-16,"Cổ tức bằng tiền, tỷ lệ: 8.0 %"
2013-08-20,"Cổ tức bằng tiền, tỷ lệ: 20.0 %"
2013-06-14,"Cổ tức bằng tiền, tỷ lệ: 18.0 %"
2012-12-19,"Thưởng bằng cổ phiếu, tỷ lệ: 1: 0.5"
2012-08-21,"Cổ tức bằng tiền, tỷ lệ: 20.0 %"
2012-04-06,"Cổ tức bằng tiền, tỷ lệ: 20.0 %"
2011-11-29,"Thưởng bằng cổ phiếu, tỷ lệ: 1: 0.5"
2011-09-13,"Cổ tức bằng tiền, tỷ lệ: 20.0 %"
2010-08-13,"Cổ tức bằng tiền, tỷ lệ: 30.0 %"
2010-04-08,"Cổ tức bằng tiền, tỷ lệ: 10.0 %"
2010-02-25,"Cổ tức bằng tiền, tỷ lệ: 10.0 %"
2009-09-18,"Thưởng bằng cổ phiếu, tỷ lệ: 1: 1.0"
2009-07-20,"Cổ tức bằng tiền, tỷ lệ: 20.0 %"
2008-11-26,"Cổ tức bằng tiền, tỷ lệ: 19.0 %"
2008-08-18,"Cổ tức bằng tiền, tỷ lệ: 10.0 %"
2008-04-17,"Cổ tức bằng tiền, tỷ lệ: 10.0 %"
2007-06-27,"Cổ tức bằng tiền, tỷ lệ: 19.0 %"
2007-01-31,"Phát hành thêm cổ phiếu, tỷ lệ: 1 : 0.05"
2007-01-31,"Cổ tức bằng tiền, tỷ lệ: 10.0 %"
2006-06-28,"Cổ tức bằng tiền, tỷ lệ: 9.0 %"
